720x1280
Adreno 320 (16.27)	Adreno 320 (6.48)	Adreno 320 (17.93)	Adreno 320 (6.36)	Adreno 320 (15.96)	Adreno 530 (16.61)	Adreno 530 (5.41)	Adreno 530 (22.54)	Adreno 530 (5.50)	Adreno 530 (22.81)	Mali 450 (17.48)	Mali 450 (10.55)	Mali 450 (29.94)	Mali 450 (14.54)	Mali 450 (29.55)	PVR G6200 (16.91)	PVR G6200 (12.47)	PVR G6200 (19.95)	PVR G6200 (10.72)	PVR G6200 (20.25)	Tegra 3 (39.70)	Tegra 3 (26.76)	Tegra 3 (36.54)	Tegra 3 (27.59)	Tegra 3 (34.41)	Tegra 4 (16.53)	Tegra 4 (9.21)	Tegra 4 (16.79)	Tegra 4 (10.10)	Tegra 4 (16.41)	
vsync (16.27)	none (6.48)	glReadPixels (17.93)	EGLSyncKHR (6.36)	glFinish (15.96)	vsync (16.61)	none (5.41)	glReadPixels (22.54)	EGLSyncKHR (5.50)	glFinish (22.81)	vsync (17.48)	none (10.55)	glReadPixels (29.94)	EGLSyncKHR (14.54)	glFinish (29.55)	vsync (16.91)	none (12.47)	glReadPixels (19.95)	EGLSyncKHR (10.72)	glFinish (20.25)	vsync (39.70)	none (26.76)	glReadPixels (36.54)	EGLSyncKHR (27.59)	glFinish (34.41)	vsync (16.53)	none (9.21)	glReadPixels (16.79)	EGLSyncKHR (10.10)	glFinish (16.41)	
16.153000	5.866000	18.812000	7.550000	11.987000	13.955000	5.015000	32.192000	5.088000	32.172000	18.516000	9.614000	30.960000	16.201000	29.704000	17.889000	13.977000	18.310000	13.058000	18.942000	58.871000	23.598000	34.297000	26.824000	37.883000	16.653000	11.339000	16.643000	9.884000	18.142000	
16.178000	5.624000	21.158000	7.633000	12.948000	17.240000	5.116000	19.126000	5.227000	16.454000	18.781000	10.414000	32.472000	16.187000	32.600000	13.699000	17.090000	19.878000	12.866000	19.557000	46.751000	28.654000	34.956000	29.116000	40.428000	16.418000	10.132000	16.612000	11.168000	15.290000	
16.282000	4.558000	19.830000	8.656000	12.037000	15.171000	5.395000	22.812000	4.924000	17.065000	19.500000	9.362000	35.516000	16.160000	31.085000	20.450000	11.963000	18.903000	12.856000	19.136000	22.924000	25.083000	33.031000	26.896000	36.268000	16.836000	9.941000	16.780000	9.544000	14.633000	
16.002000	5.073000	19.169000	4.889000	12.244000	16.653000	5.043000	27.272000	5.026000	26.445000	20.928000	10.677000	31.323000	16.232000	24.387000	16.735000	13.935000	22.826000	12.765000	18.175000	68.834000	27.219000	32.477000	27.273000	34.515000	16.370000	10.297000	14.580000	11.075000	13.684000	
16.268000	4.876000	19.057000	4.774000	12.350000	15.104000	4.960000	37.347000	4.886000	23.345000	18.386000	14.911000	23.634000	16.141000	24.444000	13.202000	14.974000	21.637000	12.680000	18.046000	22.277000	33.063000	34.436000	26.191000	36.970000	16.629000	10.200000	16.771000	9.608000	17.811000	
16.372000	4.828000	19.372000	4.624000	11.794000	16.959000	4.649000	16.649000	4.859000	24.994000	17.718000	15.179000	24.003000	16.235000	26.367000	19.652000	13.122000	22.871000	12.748000	20.342000	29.306000	23.525000	34.116000	27.886000	35.536000	16.670000	10.102000	16.149000	11.082000	16.887000	
16.440000	4.904000	19.321000	4.554000	11.824000	19.050000	5.041000	18.167000	5.102000	25.407000	19.205000	10.747000	23.670000	16.250000	23.397000	20.267000	14.175000	21.547000	12.722000	20.988000	44.389000	26.163000	35.180000	35.084000	36.111000	16.611000	10.151000	16.788000	9.818000	15.920000	
16.437000	5.373000	20.061000	4.728000	14.526000	17.373000	4.821000	19.702000	4.978000	25.139000	18.510000	10.622000	29.193000	16.164000	24.348000	12.441000	14.248000	22.959000	12.770000	18.247000	26.721000	27.375000	33.830000	39.906000	37.357000	17.768000	10.368000	15.832000	11.833000	15.528000	
16.356000	5.019000	19.519000	4.699000	12.175000	18.990000	4.998000	21.381000	4.906000	30.074000	18.626000	10.505000	31.498000	16.246000	32.235000	17.809000	16.084000	21.365000	12.773000	17.324000	35.720000	34.721000	37.463000	28.439000	38.855000	15.254000	9.964000	17.472000	9.374000	17.543000	
16.482000	5.597000	19.621000	4.699000	13.982000	12.614000	5.059000	25.957000	5.076000	33.511000	19.151000	10.544000	31.393000	16.277000	23.659000	17.452000	13.161000	24.933000	12.801000	17.609000	35.199000	22.102000	45.437000	28.032000	38.713000	16.687000	10.366000	17.999000	11.168000	16.455000	
16.327000	4.829000	19.441000	4.791000	13.699000	16.172000	9.216000	28.768000	5.071000	33.774000	18.153000	10.494000	31.757000	16.082000	23.697000	18.658000	14.184000	23.050000	12.846000	17.285000	26.663000	26.325000	46.282000	18.094000	36.170000	25.060000	10.206000	16.817000	10.769000	16.815000	
16.368000	5.156000	19.537000	4.746000	13.343000	13.557000	4.951000	15.688000	4.992000	16.066000	18.200000	10.454000	33.088000	16.315000	25.210000	14.737000	14.235000	23.951000	12.811000	17.419000	26.797000	37.156000	39.338000	18.537000	35.446000	7.934000	10.109000	17.185000	10.151000	16.772000	
